"goal","dimension","region_id","score","region_label"
"MAR","score",228,,"Guernsey"
"MAR","score",231,0.02,"East Timor"
"MAR","score",232,1.95,"Bosnia and Herzegovina"
"MAR","score",237,,"Oecussi Ambeno"
"MAR","score",244,,"Curacao"
"MAR","score",245,0.08,"Bonaire"
"MAR","score",247,3.91,"Brunei"
"MAR","score",248,,"Saba"
"MAR","score",249,,"Sint Eustatius"
"MAR","score",250,,"Aruba"
"AO","score",0,97.78,"GLOBAL"
"AO","score",1,100,"Cocos Islands"
"AO","score",2,100,"Christmas Island"
"AO","score",3,100,"Norfolk Island"
"AO","score",4,100,"Macquarie Island"
"AO","score",5,99.96,"New Caledonia"
"AO","score",6,99.54,"Vanuatu"
"AO","score",7,99.69,"Solomon Islands"
"AO","score",8,97.66,"Palau"
"AO","score",9,99.46,"Micronesia"
"AO","score",10,99.92,"Nauru"
"AO","score",11,99.51,"Marshall Islands"
"AO","score",12,100,"Wake Island"
"AO","score",13,99.46,"Northern Mariana Islands and Guam"
"AO","score",14,99.08,"Taiwan"
"AO","score",15,99.29,"Philippines"
"AO","score",16,96.68,"Australia"
"AO","score",17,99.67,"Papua New Guinea"
"AO","score",18,98.81,"Fiji"
"AO","score",19,99.45,"Tuvalu"
"AO","score",20,97.54,"South Korea"
"AO","score",21,96.47,"North Korea"
"AO","score",24,99.72,"Cambodia"
"AO","score",25,98.64,"Thailand"
"AO","score",26,99.99,"Andaman and Nicobar"
"AO","score",28,99.76,"Comoro Islands"
"AO","score",29,100,"Mayotte"
"AO","score",30,100,"Glorioso Islands"
"AO","score",31,96.39,"Seychelles"
"AO","score",32,99.99,"R_union"
"AO","score",33,100,"Juan de Nova Island"
"AO","score",34,100,"Bassas da India"
"AO","score",35,100,"Ile Europa"
"AO","score",36,100,"Ile Tromelin"
"AO","score",37,97.44,"Mauritius"
"AO","score",38,100,"British Indian Ocean Territory"
"AO","score",39,98.25,"Maldives"
"AO","score",40,98.6,"Sri Lanka"
"AO","score",41,99.85,"Mozambique"
"AO","score",42,99.78,"Madagascar"
"AO","score",43,99.75,"Kenya"
"AO","score",44,96.75,"Somalia"
"AO","score",45,99.86,"Eritrea"
"AO","score",46,99.62,"Djibouti"
"AO","score",47,98.98,"Yemen"
"AO","score",48,90.89,"Oman"
"AO","score",49,98.34,"Sudan"
"AO","score",50,87.67,"Saudi Arabia"
"AO","score",51,88.41,"Kuwait"
"AO","score",52,92.86,"Bahrain"
"AO","score",53,99.48,"Pakistan"
"AO","score",54,91.33,"United Arab Emirates"
"AO","score",55,99.94,"Azores"
"AO","score",56,99.01,"Cape Verde"
"AO","score",57,99.93,"Madeira"
"AO","score",58,99.48,"Canary Islands"
"AO","score",59,95.37,"Belgium"
"AO","score",60,99.99,"Gibraltar"
"AO","score",61,98.96,"Tunisia"
"AO","score",62,99.2,"Morocco"
"AO","score",63,99.98,"Western Sahara"
"AO","score",64,99.61,"Mauritania"
"AO","score",65,99.81,"Gambia"
"AO","score",66,99.7,"Senegal"
"AO","score",67,93.08,"Libya"
"AO","score",68,96.69,"Malta"
"AO","score",69,97.51,"Latvia"
"AO","score",70,97.67,"Estonia"
"AO","score",71,98.16,"Bulgaria"
"AO","score",72,97.94,"Romania"
"AO","score",73,97.72,"Russia"
"AO","score",74,99.34,"Georgia"
"AO","score",75,99.01,"Ukraine"
"AO","score",76,98.24,"Turkey"
"AO","score",77,92.31,"Syria"
"AO","score",78,98.03,"Lebanon"
"AO","score",79,96.95,"Israel"
"AO","score",80,97.03,"Greece"
"AO","score",81,97.04,"Cyprus"
"AO","score",82,99.02,"Albania"
"AO","score",84,98.74,"Algeria"
"AO","score",85,100,"Ascension"
"AO","score",86,100,"Saint Helena"
"AO","score",88,100,"Tristan da Cunha"
"AO","score",89,,"South Georgia and the South Sandwich Islands"
"AO","score",90,,"Prince Edward Islands"
"AO","score",91,,"Crozet Islands"
"AO","score",92,,"Amsterdam Island and Saint Paul Island"
"AO","score",93,,"Kerguelen Islands"
"AO","score",94,,"Heard and McDonald Islands"
"AO","score",95,100,"Falkland Islands"
"AO","score",96,99.81,"Sierra Leone"
"AO","score",97,99.88,"Liberia"
"AO","score",98,99.79,"Togo"
"AO","score",99,99.73,"Benin"
"AO","score",100,99.21,"Republique du Congo"
"AO","score",101,99.46,"Namibia"
"AO","score",102,98.81,"South Africa"
"AO","score",103,99.55,"Sao Tome and Principe"
"AO","score",104,89.65,"Equatorial Guinea"
"AO","score",105,,"Bouvet Island"
"AO","score",106,99.42,"Ghana"
"AO","score",107,100,"Clipperton Island"
"AO","score",108,94.34,"Bermuda"
"AO","score",110,97.76,"Bahamas"
"AO","score",111,99.98,"Turks and Caicos Islands"
"AO","score",112,93.56,"Cuba"
"AO","score",113,99.97,"Cayman Islands"
"AO","score",114,99.78,"Haiti"
"AO","score",115,98.69,"Dominican Republic"
"AO","score",116,96.65,"Puerto Rico and Virgin Islands of the United States"
"AO","score",117,99.98,"British Virgin Islands"
"AO","score",118,99.99,"Anguilla"
"AO","score",119,98.02,"Saint Kitts and Nevis"
"AO","score",120,97.58,"Antigua and Barbuda"
"AO","score",121,100,"Montserrat"
"AO","score",122,98.98,"Saint Lucia"
"AO","score",123,99.03,"Dominica"
"AO","score",124,97.88,"Barbados"
"AO","score",125,98.48,"Grenada"
"AO","score",126,96.55,"Trinidad and Tobago"
"AO","score",127,98.61,"Saint Vincent and the Grenadines"
"AO","score",129,97.56,"Panama"
"AO","score",130,98.18,"Costa Rica"
"AO","score",131,99.41,"Nicaragua"
"AO","score",132,98.51,"Colombia"
"AO","score",133,99.39,"Honduras"
"AO","score",134,99.27,"El Salvador"
"AO","score",135,97.8,"Mexico"
"AO","score",136,99.03,"Guatemala"
"AO","score",137,98.82,"Ecuador"
"AO","score",138,98.92,"Peru"
"AO","score",139,97.14,"Venezuela"
"AO","score",140,99.57,"Guadeloupe and Martinique"
"AO","score",141,99.99,"Faeroe Islands"
"AO","score",143,95.53,"Iceland"
"AO","score",144,100,"Jan Mayen"
"AO","score",145,99.98,"Greenland"
"AO","score",146,100,"Pitcairn"
"AO","score",147,98.41,"French Polynesia"
"AO","score",148,99.96,"Line Group"
"AO","score",149,100,"Jarvis Island"
"AO","score",150,100,"Palmyra Atoll"
"AO","score",151,99.83,"American Samoa"
"AO","score",152,99.54,"Samoa"
"AO","score",153,99.92,"Cook Islands"
"AO","score",154,99.99,"Niue"
"AO","score",155,99.49,"Tonga"
"AO","score",156,99.99,"Tokelau"
"AO","score",157,100,"Phoenix Group"
"AO","score",158,100,"Howland Island and Baker Island"
"AO","score",159,100,"Johnston Atoll"
"AO","score",161,99.91,"Wallis and Futuna"
"AO","score",162,97.51,"New Zealand"
"AO","score",163,94.98,"United States"
"AO","score",164,99.18,"Belize"
"AO","score",166,98.82,"Jamaica"
"AO","score",167,99.16,"Guyana"
"AO","score",168,98.2,"Suriname"
"AO","score",169,99.99,"French Guiana"
"AO","score",171,98.2,"Brazil"
"AO","score",172,98.51,"Argentina"
"AO","score",173,98.2,"Uruguay"
"AO","score",174,95.53,"Finland"
"AO","score",175,96.74,"Denmark"
"AO","score",176,95.13,"Germany"
"AO","score",177,95.05,"Netherlands"
"AO","score",178,97.83,"Poland"
"AO","score",179,96.5,"France"
"AO","score",180,96.63,"United Kingdom"
"AO","score",181,95,"Ireland"
"AO","score",182,96.32,"Spain"
"AO","score",183,97.03,"Portugal"
"AO","score",184,96.01,"Italy"
"AO","score",185,,"Monaco"
"AO","score",186,98.4,"Montenegro"
"AO","score",187,96.82,"Croatia"
"AO","score",188,96.71,"Slovenia"
"AO","score",189,97.69,"Lithuania"
"AO","score",190,80.95,"Qatar"
"AO","score",191,98.11,"Iran"
"AO","score",192,95.77,"Iraq"
"AO","score",193,99.83,"Guinea Bissau"
"AO","score",194,99.81,"Guinea"
"AO","score",195,99.57,"Ivory Coast"
"AO","score",196,97.05,"Nigeria"
"AO","score",197,99.6,"Cameroon"
"AO","score",198,97.86,"Gabon"
"AO","score",199,99.11,"Democratic Republic of the Congo"
"AO","score",200,98.97,"Angola"
"AO","score",202,99.84,"Tanzania"
"AO","score",203,99.2,"India"
"AO","score",204,99.72,"Bangladesh"
"AO","score",205,97.18,"Myanmar"
"AO","score",206,97.41,"Malaysia"
"AO","score",207,99.31,"Vietnam"
"AO","score",208,84.5,"Singapore"
"AO","score",209,74.29,"China"
"AO","score",210,94.51,"Japan"
"AO","score",212,99.76,"Kiribati"
"AO","score",213,,"Antarctica"
"AO","score",214,98.95,"Egypt"
"AO","score",215,98.46,"Jordan"
"AO","score",216,98.6,"Indonesia"
"AO","score",218,95.94,"Canada"
"AO","score",219,100,"Saint Pierre and Miquelon"
"AO","score",220,99.97,"Sint Maarten"
"AO","score",221,99.98,"Northern Saint-Martin"
"AO","score",222,94.29,"Sweden"
"AO","score",223,93.51,"Norway"
"AO","score",224,97.96,"Chile"
"AO","score",227,99.96,"Jersey"
"AO","score",228,99.98,"Guernsey"
"AO","score",231,99.71,"East Timor"
"AO","score",232,98.91,"Bosnia and Herzegovina"
"AO","score",237,100,"Oecussi Ambeno"
"AO","score",244,99.89,"Curacao"
"AO","score",245,99.99,"Bonaire"
"AO","score",247,89.04,"Brunei"
"AO","score",248,100,"Saba"
